Mode,Backend,M,N,k,MPI_Ranks,Run,ParallelTime,DistribTime,TransferTime
Opt_SMP,OMP,4000,2000,20,1,1,0.032190,0.000081,0.000000
Opt_SMP,OMP,4000,2000,20,1,2,0.031735,0.000076,0.000000
Opt_SMP,OMP,4000,2000,20,1,3,0.031595,0.000076,0.000000
Opt_SMP,OMP,4000,2000,32,1,1,0.043637,0.000117,0.000000
Opt_SMP,OMP,4000,2000,32,1,2,0.043648,0.000117,0.000000
Opt_SMP,OMP,4000,2000,32,1,3,0.043723,0.000117,0.000000
Opt_SMP,OMP,4000,2000,64,1,1,0.078816,0.000448,0.000000
Opt_SMP,OMP,4000,2000,64,1,2,0.078206,0.000448,0.000000
Opt_SMP,OMP,4000,2000,64,1,3,0.078441,0.000478,0.000000
Opt_SMP,OMP,4000,2000,128,1,1,0.146190,0.000908,0.000000
Opt_SMP,OMP,4000,2000,128,1,2,0.142947,0.000934,0.000000
Opt_SMP,OMP,4000,2000,128,1,3,0.141794,0.000910,0.000000
Opt_SMP,OMP,6000,2000,3,1,1,0.026424,0.000018,0.000000
Opt_SMP,OMP,6000,2000,3,1,2,0.026441,0.000017,0.000000
Opt_SMP,OMP,6000,2000,3,1,3,0.026745,0.000018,0.000000
Opt_SMP,OMP,6000,2000,6,1,1,0.036494,0.000030,0.000000
Opt_SMP,OMP,6000,2000,6,1,2,0.036619,0.000028,0.000000
Opt_SMP,OMP,6000,2000,6,1,3,0.036487,0.000030,0.000000
Opt_SMP,OMP,6000,2000,8,1,1,0.030239,0.000035,0.000000
Opt_SMP,OMP,6000,2000,8,1,2,0.030008,0.000037,0.000000
Opt_SMP,OMP,6000,2000,8,1,3,0.030164,0.000035,0.000000
Opt_SMP,OMP,6000,2000,20,1,1,0.048884,0.000075,0.000000
Opt_SMP,OMP,6000,2000,20,1,2,0.048260,0.000076,0.000000
Opt_SMP,OMP,6000,2000,20,1,3,0.048438,0.000081,0.000000
Opt_SMP,OMP,6000,2000,32,1,1,0.067761,0.000117,0.000000
Opt_SMP,OMP,6000,2000,32,1,2,0.067606,0.000131,0.000000
Opt_SMP,OMP,6000,2000,32,1,3,0.067381,0.000125,0.000000
Opt_SMP,OMP,6000,2000,64,1,1,0.117245,0.000453,0.000000
Opt_SMP,OMP,6000,2000,64,1,2,0.117411,0.000450,0.000000
Opt_SMP,OMP,6000,2000,64,1,3,0.117583,0.000472,0.000000
Opt_SMP,OMP,6000,2000,128,1,1,0.219501,0.000900,0.000000
